HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA09000005		Myristonitrile
		LMFA09000006		
		LMFA09000007		Palmitonitrile
		LMFA09000008		
		LMFA09000010		
		LMFA09000011		
		LMFA09000012		
		LMFA09000013		
		LMFA09000014		
		LMFA09000015		
		LMFA09000016		
		LMFA09000017		
		LMFA01020443		Mycinonic acid II
		LMFA01020444		Mycinonic acid III
		LMFA01170154		Tensyuic acid E
		LMFA01170155		Tensyuic acid B
		LMFA01170156		Tensyuic acid D
		LMFA01170157		Tensyuic acid C
		LMFA06000282		6E,11Z-octadecadienal
		LMFA06000283		6E-octadecenal
		LMFA00000051		(+)-Danicalipin A
		LMFA11000717		1-dimethylarsinoyl-(3Z,6Z,9Z,12Z,15Z,18Z)-docosahexaene
		LMFA00000039		19-dimethylarsinoyl-nonadecanoic acid
		LMFA00000031		17-dimethylarsinoyl-9Z-heptadecenoic acid
		LMFA00000035		2-dimethylarsinoyl-acetic acid
		LMFA13010039		1-O-(8R-hydroxy-8-methyl-3Z,9-decadienoyl)-beta-D-glucopyranose
		LMFA01030675		18-bromo-9E,17E-Octadecadiene-7,15-diynoic acid
		LMFA01090031		Xestospongic acid
		LMFA01031248		R-Protegenin B
		LMFA01031249		S-Protegenin B
		LMFA01050592		Collimonin C
		LMFA01050593		Collimonin D
		LMFA07040148		Collimonin A
		LMFA07040149		Collimonin B
		LMFA08020141		Arachidonoyl Serotonin
		LMFA01031250		Protegenin C
		LMFA01031247		Protegenin A
		LMFA01031251		Protegenin D
		LMFA05000143		11-Chloro-8E,10E-undecadien-1-ol
		LMFA05000469		R-sulcatol
		LMFA05000470		S-sulcatol
		LMFA07010259		11,11-Difluoro-9Z-dodecenyl acetate
		LMFA03010072		PGF2alpha-1,15-lactone
		LMFA03120017		clavulolactone III
		LMFA03120015		clavulolactone I
		LMFA03120027		punaglandin 1
		LMFA03120028		12S-acetoxy-punaglandin 1
		LMFA03120029		punaglandin 2
		LMFA03120030		12S-acetoxy-punaglandin 2
		LMFA03120031		punaglandin 3
		LMFA03120033		punaglandin 4
		LMFA03120038		12R-acetoxy-7Z-punaglandin 4
		LMFA03120041		punaglandin 5
		LMFA03120044		punaglandin 7
		LMFA11000588		Triacontane
		LMFA08020172		EI-1511-3
		LMFA08020173		EI-1511-5
		LMFA08020174		EI-1625-2
		LMFA01080023		(5Z,9Z)-2-methoxy-hexacosadienoic acid
		LMFA03070040		5S,6-Ep-18S-HEPE
		LMFA03070041		6-trans-5,12,18-triHEPE
		LMFA03070039		5S-Hp-18S-HEPE
		LMFA13010034		14-O-(beta-D-glucopyranosyl)-7S,14R-dihydroxy-7,9,13,17-tetramethyl-2E,4E,8E,10E,12E,16E-octadecahexaenoic acid
		LMFA13030009		14-O-(alpha-L-rhamnopyranosyl)-7S,14R-dihydroxy-7,9,13,17-tetramethyl-2E,4E,8E,10E,12E,16E-octadecahexaenoic acid
		LMFA13010043		Butyl 3-O-beta-D-glucopyranosyl-butanoate
		LMFA08020343		Thalassotalic acid A
		LMFA08020346		Thalassotalamide A
		LMFA08020336		Stieleriacine D
		LMFA08020337		Stieleriacine E
		LMFA08020338		Stieleriacine A1
		LMFA08020339		Stieleriacine B1
		LMFA08020340		Stieleriacine B2
		LMFA08020341		Stieleriacine A2
		LMFA08020342		Stieleriacine C
		LMFA08020347		Thalassotalamide B
		LMFA08020344		Thalassotalic acid B
		LMFA08020345		Thalassotalic acid C
		LMFA07040060		24-Tetracosanolide
		LMFA07040055		delta-hexadecalactone
		LMFA07040059		22-Docosanolide
		LMFA11000081		4Z-Tridecene
		LMFA07011164		
		LMFA07011163		
		LMFA07011162		
		LMFA07011161		
		LMFA07011160		Lignoceric acid benzyl ester
		LMFA07011170		
		LMFA07011169		
		LMFA12000202		6-Methyloctadecan-2-one
		LMFA07011168		
