compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
3-Methylhistidine	HMDB0000479	C01152		
Allopurinol riboside	HMDB0000481			
Caprylic acid	HMDB0000482	C06423	Caprylic acid	LMFA01010008
5b-Cholestane-3a,7a,12a,23S,25-pentol	HMDB0000483			
Vanillic acid	HMDB0000484	C06672		
7-Hydroxyoctanoic acid	HMDB0000486		7-hydroxy-octanoic acid	LMFA01050229
(4E,15Z)-Bilirubin	HMDB0000488			
Aspartylglycosamine	HMDB0000489	C04540		
Etiocholanolone	HMDB0000490	C04373	Etiocholanolone	LMST02020059
3-Methyl-2-oxovaleric acid	HMDB0000491	C00671		
Chloride ion	HMDB0000492	C00698		
5alpha-Androstane-3beta,17beta-diol	HMDB0000493	C12525	3beta-androstanediol	LMST02020053
Stigmastanol	HMDB0000494	C11682		
Androstanediol	HMDB0000495			
3-Methoxy-4-hydroxyphenylglycol glucuronide	HMDB0000496	C03033		
5,6-Dihydrouridine	HMDB0000497			
4-Deoxyerythronic acid	HMDB0000498			
5-Tetradecenoic acid	HMDB0000499		5E-Tetradecenoic acid	LMFA01030913
5-Tetradecenoic acid	HMDB0000499		Physeteric acid	LMFA01030248
4-Hydroxybenzoic acid	HMDB0000500	C00156		
7-Ketocholesterol	HMDB0000501			
3-Oxocholic acid	HMDB0000502		3-Oxocholic acid	LMST04010443
7alpha-Hydroxy-3-oxo-5beta-cholan-24-oic acid	HMDB0000503		3-Oxochenodeoxycholic Acid	LMST04010161
	HMDB0000505	C00695	Cholic acid	LMST04010001
Allocholic acid	HMDB0000505	C17737		
alpha-Muricholic acid	HMDB0000506	C17647		
Ribitol	HMDB0000508	C00474		
Senecioic acid	HMDB0000509		beta,beta-dimethyl acrylic acid	LMFA01020097
Aminoadipic acid	HMDB0000510	C00956		
	HMDB0000510		Aminoadipic acid	LMFA01170098
Capric acid	HMDB0000511	C01571	Capric acid	LMFA01010010
N-Acetyl-L-phenylalanine	HMDB0000512	C03519		
5b-Cholestane-3a,7a,12a,23R,25-pentol	HMDB0000513	C01571		
	HMDB0000513			LMST01010240
Allochenodeoxycholic acid	HMDB0000514			
L-Arginine	HMDB0000517	C00062		
Chenodeoxycholic acid	HMDB0000518	C02528	Chenodeoxycholic Acid	LMST04010032
5a-Cholestane-3a,7a,12a,25-tetrol	HMDB0000520			
5Z-Tetradecenoic acid	HMDB0000521			
3-Methylglutaconic acid	HMDB0000522		3E-methylglutaconic acid	LMFA01170068
5-Androstene-3b,16b,17a-triol	HMDB0000523			LMST02020098
5beta-Cholestane-3alpha,7alpha,12alpha,25-tetrol	HMDB0000524			LMST04030037
5-Hydroxyhexanoic acid	HMDB0000525		5-hydroxy caproic acid	LMFA01050014
5alpha-Tetrahydrocortisol	HMDB0000526		5a-Tetrahydrocortisol	LMST02030200
6a,12a-Dihydroxylithocholic acid	HMDB0000527			
4,5-Dihydroorotic acid	HMDB0000528	C00337		
5Z-Dodecenoic acid	HMDB0000529		Lauroleinic acid	LMFA01030226
6-Ketoestriol	HMDB0000530			
3-Hydroxyvaleric acid	HMDB0000531		3-hydroxy valeric acid	LMFA01050008
Acetylglycine	HMDB0000532			
Campestanol	HMDB0000534			
Caproic acid	HMDB0000535	C01585	Caproic acid	LMFA01010006
Adenylsuccinic acid	HMDB0000536	C03794		
Adenosine triphosphate	HMDB0000538	C00002		
Arabinonic acid	HMDB0000539	C00878		
5-Androstene-3b,16a,17a-triol	HMDB0000540			LMST02020097
7b-Hydroxy-3-oxo-5b-cholanoic acid	HMDB0000541			
8-Hydroxyadenine	HMDB0000542			
Benzenebutanoic acid	HMDB0000543			
5-Hydroxymethyl-4-methyluracil	HMDB0000544			
Chenodeoxycholic acid disulfate	HMDB0000545		Chenodeoxycholic acid disulfate	LMST05020025
Epietiocholanolone	HMDB0000546		Epietiocholanolone	LMST02020104
Magnesium	HMDB0000547	C00305		
TG(10:0/10:0/10:0)	HMDB0000548		1,2,3-tricaprinoyl-glycerol	LMGL03012617
gamma-Butyrolactone	HMDB0000549	C01770		
5-Androstenetriol	HMDB0000550		5-Androstenetriol	LMST02020099
Etiocholanediol	HMDB0000551		5beta-androstane-3alpha,17beta-diol	LMST02020077
3-Methylglutarylcarnitine	HMDB0000552			
3L,7D,11D-Phytanic acid	HMDB0000553			
	HMDB0000554	C07632	3alpha-androstanediol	LMST02020052
Dihydroandrosterone	HMDB0000554			
3-Methyladipic acid	HMDB0000555			
5b-Cholestane-3a,7a,12a,24,25-pentol	HMDB0000556			
L-Alloisoleucine	HMDB0000557			
5a-Cholestane-3a,7a,12a,23,25-pentol	HMDB0000558			
3-Methoxy-4-hydroxyphenylethyleneglycol sulfate	HMDB0000559			
Goshuyic acid	HMDB0000560		Goshuyic acid	LMFA01030257
beta-Carotene	HMDB0000561	C02094	Beta-carotene	LMPR01070001
Creatinine	HMDB0000562	C00791		
D-Phenyllactic acid	HMDB0000563	C05607		
PC(16:0/16:0)	HMDB0000564	C00157		
	HMDB0000564		PC(16:0/16:0)	LMGP01010564
Galactonic acid	HMDB0000565	C00880		
Cinnamic acid	HMDB0000567	C10438		
D-Arabitol	HMDB0000568	C01904		
Deoxypyridinoline	HMDB0000569			
Coproporphyrin III	HMDB0000570	C05770		
Desmosine	HMDB0000572			
Elaidic acid	HMDB0000573	C01712	9-elaidic acid	LMFA01030073
L-Cysteine	HMDB0000574	C00097		
DL-Homocystine	HMDB0000575	C01817		
