compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
TG(14:0/a-15:0/i-13:0)[rac]	HMDB0099718			
TG(14:0/i-15:0/13:0)	HMDB0099719			
TG(i-14:0/15:0/i-13:0)	HMDB0099720			
TG(i-14:0/i-15:0/a-13:0)[rac]	HMDB0099721			
TG(14:0/i-15:0/a-13:0)[rac]	HMDB0099722			
TG(14:0/i-15:0/i-13:0)	HMDB0099723			
TG(i-14:0/i-15:0/13:0)	HMDB0099724			
TG(i-14:0/15:0/a-13:0)[rac]	HMDB0099725			
TG(i-14:0/i-15:0/i-13:0)	HMDB0099726			
TG(i-14:0/15:0/13:0)	HMDB0099727			
TG(14:0/15:0/13:0)	HMDB0099728			
TG(14:0/15:0/i-13:0)	HMDB0099729			
TG(14:0/15:0/a-13:0)[rac]	HMDB0099730			
TG(i-14:0/a-15:0/14:0)[rac]	HMDB0099731			
TG(14:0/a-15:0/i-14:0)[rac]	HMDB0099732			
TG(14:0/i-15:0/i-14:0)	HMDB0099733			
TG(i-14:0/i-15:0/14:0)	HMDB0099734			
TG(i-14:0/15:0/14:0)	HMDB0099735			
TG(14:0/15:0/i-14:0)	HMDB0099736			
TG(14:0/a-15:0/a-15:0)[rac]	HMDB0099737			
TG(i-14:0/a-15:0/a-15:0)[rac]	HMDB0099738			
TG(i-14:0/a-15:0/i-15:0)[rac]	HMDB0099739			
TG(14:0/a-15:0/15:0)[rac]	HMDB0099740			
TG(i-14:0/a-15:0/15:0)[rac]	HMDB0099741			
TG(14:0/a-15:0/i-15:0)[rac]	HMDB0099742			
TG(14:0/i-15:0/15:0)	HMDB0099743			
TG(i-14:0/15:0/i-15:0)	HMDB0099744			
TG(i-14:0/i-15:0/a-15:0)[rac]	HMDB0099745			
TG(14:0/i-15:0/a-15:0)[rac]	HMDB0099746			
TG(14:0/i-15:0/i-15:0)	HMDB0099747			
TG(i-14:0/i-15:0/15:0)	HMDB0099748			
TG(i-14:0/15:0/a-15:0)[rac]	HMDB0099749			
TG(i-14:0/i-15:0/i-15:0)	HMDB0099750			
TG(i-14:0/15:0/15:0)	HMDB0099751			
TG(14:0/15:0/i-15:0)	HMDB0099752			
TG(14:0/15:0/a-15:0)[rac]	HMDB0099753			
TG(i-14:0/a-15:0/i-16:0)[rac]	HMDB0099754			
TG(14:0/a-15:0/16:0)[rac]	HMDB0099755			
TG(i-14:0/a-15:0/16:0)[rac]	HMDB0099756			
TG(14:0/a-15:0/i-16:0)[rac]	HMDB0099757			
TG(14:0/i-15:0/16:0)	HMDB0099758			
TG(i-14:0/15:0/i-16:0)	HMDB0099759			
TG(14:0/i-15:0/i-16:0)	HMDB0099760			
TG(i-14:0/i-15:0/16:0)	HMDB0099761			
TG(i-14:0/i-15:0/i-16:0)	HMDB0099762			
TG(i-14:0/15:0/16:0)	HMDB0099763			
TG(14:0/15:0/i-16:0)	HMDB0099764			
TG(14:0/a-15:0/a-17:0)[rac]	HMDB0099765			
TG(i-14:0/a-15:0/a-17:0)[rac]	HMDB0099766			
TG(i-14:0/a-15:0/i-17:0)[rac]	HMDB0099767			
TG(14:0/a-15:0/17:0)[rac]	HMDB0099768			
TG(i-14:0/a-15:0/17:0)[rac]	HMDB0099769			
TG(14:0/a-15:0/i-17:0)[rac]	HMDB0099770			
TG(14:0/i-15:0/17:0)	HMDB0099771			
TG(i-14:0/15:0/i-17:0)	HMDB0099772			
TG(i-14:0/i-15:0/a-17:0)[rac]	HMDB0099773			
TG(14:0/i-15:0/a-17:0)[rac]	HMDB0099774			
TG(14:0/i-15:0/i-17:0)	HMDB0099775			
TG(i-14:0/i-15:0/17:0)	HMDB0099776			
TG(i-14:0/15:0/a-17:0)[rac]	HMDB0099777			
TG(i-14:0/i-15:0/i-17:0)	HMDB0099778			
TG(i-14:0/15:0/17:0)	HMDB0099779			
TG(14:0/15:0/17:0)	HMDB0099780			
TG(14:0/15:0/i-17:0)	HMDB0099781			
TG(14:0/15:0/a-17:0)[rac]	HMDB0099782			
TG(i-14:0/a-15:0/i-18:0)[rac]	HMDB0099783			
TG(14:0/a-15:0/18:0)[rac]	HMDB0099784			
TG(i-14:0/a-15:0/18:0)[rac]	HMDB0099785			
TG(14:0/a-15:0/i-18:0)[rac]	HMDB0099786			
TG(14:0/i-15:0/18:0)	HMDB0099787			
TG(i-14:0/15:0/i-18:0)	HMDB0099788			
TG(14:0/i-15:0/i-18:0)	HMDB0099789			
TG(i-14:0/i-15:0/18:0)	HMDB0099790			
TG(i-14:0/i-15:0/i-18:0)	HMDB0099791			
TG(i-14:0/15:0/18:0)	HMDB0099792			
TG(14:0/15:0/i-18:0)	HMDB0099793			
TG(i-14:0/a-15:0/i-19:0)[rac]	HMDB0099794			
TG(14:0/a-15:0/19:0)[rac]	HMDB0099795			
TG(i-14:0/a-15:0/19:0)[rac]	HMDB0099796			
TG(14:0/a-15:0/i-19:0)[rac]	HMDB0099797			
TG(14:0/i-15:0/19:0)	HMDB0099798			
TG(i-14:0/15:0/i-19:0)	HMDB0099799			
TG(14:0/i-15:0/i-19:0)	HMDB0099800			
TG(i-14:0/i-15:0/19:0)	HMDB0099801			
TG(i-14:0/i-15:0/i-19:0)	HMDB0099802			
TG(i-14:0/15:0/19:0)	HMDB0099803			
TG(14:0/15:0/19:0)	HMDB0099804			
TG(14:0/15:0/i-19:0)	HMDB0099805			
TG(i-14:0/a-15:0/i-20:0)[rac]	HMDB0099806			
TG(14:0/a-15:0/20:0)[rac]	HMDB0099807			
TG(i-14:0/a-15:0/20:0)[rac]	HMDB0099808			
TG(14:0/a-15:0/i-20:0)[rac]	HMDB0099809			
TG(14:0/i-15:0/20:0)	HMDB0099810			
TG(i-14:0/15:0/i-20:0)	HMDB0099811			
TG(14:0/i-15:0/i-20:0)	HMDB0099812			
TG(i-14:0/i-15:0/20:0)	HMDB0099813			
TG(i-14:0/i-15:0/i-20:0)	HMDB0099814			
TG(i-14:0/15:0/20:0)	HMDB0099815			
TG(14:0/15:0/i-20:0)	HMDB0099816			
TG(14:0/a-15:0/a-21:0)[rac]	HMDB0099817			
TG(i-14:0/a-15:0/a-21:0)[rac]	HMDB0099818			
TG(i-14:0/a-15:0/i-21:0)[rac]	HMDB0099819			
TG(14:0/a-15:0/21:0)[rac]	HMDB0099820			
TG(i-14:0/a-15:0/21:0)[rac]	HMDB0099821			
TG(14:0/a-15:0/i-21:0)[rac]	HMDB0099822			
TG(14:0/i-15:0/21:0)	HMDB0099823			
TG(i-14:0/15:0/i-21:0)	HMDB0099824			
TG(i-14:0/i-15:0/a-21:0)[rac]	HMDB0099825			
TG(14:0/i-15:0/a-21:0)[rac]	HMDB0099826			
TG(14:0/i-15:0/i-21:0)	HMDB0099827			
TG(i-14:0/i-15:0/21:0)	HMDB0099828			
TG(i-14:0/15:0/a-21:0)[rac]	HMDB0099829			
TG(i-14:0/i-15:0/i-21:0)	HMDB0099830			
TG(i-14:0/15:0/21:0)	HMDB0099831			
TG(14:0/15:0/21:0)	HMDB0099832			
TG(14:0/15:0/i-21:0)	HMDB0099833			
TG(14:0/15:0/a-21:0)[rac]	HMDB0099834			
TG(i-14:0/a-15:0/i-22:0)[rac]	HMDB0099835			
TG(14:0/a-15:0/22:0)[rac]	HMDB0099836			
TG(i-14:0/a-15:0/22:0)[rac]	HMDB0099837			
TG(14:0/a-15:0/i-22:0)[rac]	HMDB0099838			
TG(14:0/i-15:0/22:0)	HMDB0099839			
TG(i-14:0/15:0/i-22:0)	HMDB0099840			
TG(14:0/i-15:0/i-22:0)	HMDB0099841			
TG(i-14:0/i-15:0/22:0)	HMDB0099842			
TG(i-14:0/i-15:0/i-22:0)	HMDB0099843			
TG(i-14:0/15:0/22:0)	HMDB0099844			
TG(14:0/15:0/i-22:0)	HMDB0099845			
TG(i-14:0/a-15:0/i-24:0)[rac]	HMDB0099846			
TG(14:0/a-15:0/i-24:0)[rac]	HMDB0099847			
TG(i-14:0/15:0/i-24:0)	HMDB0099848			
TG(14:0/i-15:0/i-24:0)	HMDB0099849			
TG(i-14:0/i-15:0/i-24:0)	HMDB0099850			
TG(14:0/15:0/i-24:0)	HMDB0099851			
TG(14:0/a-15:0/a-25:0)[rac]	HMDB0099852			
TG(i-14:0/a-15:0/a-25:0)[rac]	HMDB0099853			
TG(i-14:0/i-15:0/a-25:0)[rac]	HMDB0099854			
TG(14:0/i-15:0/a-25:0)[rac]	HMDB0099855			
TG(i-14:0/15:0/a-25:0)[rac]	HMDB0099856			
TG(14:0/15:0/a-25:0)[rac]	HMDB0099857			
TG(14:0/i-16:0/8:0)	HMDB0099858			
TG(i-14:0/i-16:0/8:0)	HMDB0099859			
TG(i-14:0/16:0/8:0)	HMDB0099860			
TG(14:0/16:0/8:0)	HMDB0099861			
TG(14:0/i-16:0/10:0)	HMDB0099862			
TG(i-14:0/i-16:0/10:0)	HMDB0099863			
TG(i-14:0/16:0/10:0)	HMDB0099864			
TG(14:0/16:0/10:0)	HMDB0099865			
TG(14:0/i-16:0/12:0)	HMDB0099866			
TG(i-14:0/16:0/i-12:0)	HMDB0099867			
TG(14:0/i-16:0/i-12:0)	HMDB0099868			
TG(i-14:0/i-16:0/12:0)	HMDB0099869			
TG(i-14:0/i-16:0/i-12:0)	HMDB0099870			
TG(i-14:0/16:0/12:0)	HMDB0099871			
TG(14:0/16:0/12:0)	HMDB0099872			
TG(14:0/16:0/i-12:0)	HMDB0099873			
TG(14:0/i-16:0/13:0)	HMDB0099874			
TG(i-14:0/16:0/i-13:0)	HMDB0099875			
TG(i-14:0/i-16:0/a-13:0)[rac]	HMDB0099876			
TG(14:0/i-16:0/a-13:0)[rac]	HMDB0099877			
TG(14:0/i-16:0/i-13:0)	HMDB0099878			
TG(i-14:0/i-16:0/13:0)	HMDB0099879			
TG(i-14:0/16:0/a-13:0)[rac]	HMDB0099880			
TG(i-14:0/i-16:0/i-13:0)	HMDB0099881			
TG(i-14:0/16:0/13:0)	HMDB0099882			
TG(14:0/16:0/13:0)	HMDB0099883			
TG(14:0/16:0/i-13:0)	HMDB0099884			
TG(14:0/16:0/a-13:0)[rac]	HMDB0099885			
TG(14:0/i-16:0/i-14:0)	HMDB0099886			
TG(i-14:0/i-16:0/14:0)	HMDB0099887			
TG(i-14:0/16:0/14:0)	HMDB0099888			
TG(14:0/16:0/i-14:0)	HMDB0099889			
TG(14:0/i-16:0/15:0)	HMDB0099890			
TG(i-14:0/16:0/i-15:0)	HMDB0099891			
TG(i-14:0/i-16:0/a-15:0)[rac]	HMDB0099892			
TG(14:0/i-16:0/a-15:0)[rac]	HMDB0099893			
TG(14:0/i-16:0/i-15:0)	HMDB0099894			
TG(i-14:0/i-16:0/15:0)	HMDB0099895			
TG(i-14:0/16:0/a-15:0)[rac]	HMDB0099896			
TG(i-14:0/i-16:0/i-15:0)	HMDB0099897			
TG(i-14:0/16:0/15:0)	HMDB0099898			
TG(14:0/16:0/i-15:0)	HMDB0099899			
TG(14:0/16:0/a-15:0)[rac]	HMDB0099900			
TG(14:0/i-16:0/16:0)	HMDB0099901			
TG(i-14:0/16:0/i-16:0)	HMDB0099902			
TG(14:0/i-16:0/i-16:0)	HMDB0099903			
TG(i-14:0/i-16:0/16:0)	HMDB0099904			
TG(i-14:0/i-16:0/i-16:0)	HMDB0099905			
TG(i-14:0/16:0/16:0)	HMDB0099906			
TG(14:0/16:0/i-16:0)	HMDB0099907			
TG(14:0/i-16:0/17:0)	HMDB0099908			
TG(i-14:0/16:0/i-17:0)	HMDB0099909			
TG(i-14:0/i-16:0/a-17:0)[rac]	HMDB0099910			
TG(14:0/i-16:0/a-17:0)[rac]	HMDB0099911			
TG(14:0/i-16:0/i-17:0)	HMDB0099912			
TG(i-14:0/i-16:0/17:0)	HMDB0099913			
TG(i-14:0/16:0/a-17:0)[rac]	HMDB0099914			
TG(i-14:0/i-16:0/i-17:0)	HMDB0099915			
TG(i-14:0/16:0/17:0)	HMDB0099916			
TG(14:0/16:0/17:0)	HMDB0099917			
TG(14:0/16:0/i-17:0)	HMDB0099918			
TG(14:0/16:0/a-17:0)[rac]	HMDB0099919			
TG(14:0/i-16:0/18:0)	HMDB0099920			
TG(i-14:0/16:0/i-18:0)	HMDB0099921			
TG(14:0/i-16:0/i-18:0)	HMDB0099922			
TG(i-14:0/i-16:0/18:0)	HMDB0099923			
TG(i-14:0/i-16:0/i-18:0)	HMDB0099924			
TG(i-14:0/16:0/18:0)	HMDB0099925			
TG(14:0/16:0/i-18:0)	HMDB0099926			
TG(14:0/i-16:0/19:0)	HMDB0099927			
TG(i-14:0/16:0/i-19:0)	HMDB0099928			
TG(14:0/i-16:0/i-19:0)	HMDB0099929			
TG(i-14:0/i-16:0/19:0)	HMDB0099930			
TG(i-14:0/i-16:0/i-19:0)	HMDB0099931			
TG(i-14:0/16:0/19:0)	HMDB0099932			
TG(14:0/16:0/19:0)	HMDB0099933			
TG(14:0/16:0/i-19:0)	HMDB0099934			
TG(14:0/i-16:0/20:0)	HMDB0099935			
TG(i-14:0/16:0/i-20:0)	HMDB0099936			
TG(14:0/i-16:0/i-20:0)	HMDB0099937			
TG(i-14:0/i-16:0/20:0)	HMDB0099938			
TG(i-14:0/i-16:0/i-20:0)	HMDB0099939			
TG(i-14:0/16:0/20:0)	HMDB0099940			
TG(14:0/16:0/i-20:0)	HMDB0099941			
TG(14:0/i-16:0/21:0)	HMDB0099942			
TG(i-14:0/16:0/i-21:0)	HMDB0099943			
TG(i-14:0/i-16:0/a-21:0)[rac]	HMDB0099944			
TG(14:0/i-16:0/a-21:0)[rac]	HMDB0099945			
TG(14:0/i-16:0/i-21:0)	HMDB0099946			
TG(i-14:0/i-16:0/21:0)	HMDB0099947			
TG(i-14:0/16:0/a-21:0)[rac]	HMDB0099948			
TG(i-14:0/i-16:0/i-21:0)	HMDB0099949			
TG(i-14:0/16:0/21:0)	HMDB0099950			
TG(14:0/16:0/21:0)	HMDB0099951			
TG(14:0/16:0/i-21:0)	HMDB0099952			
TG(14:0/16:0/a-21:0)[rac]	HMDB0099953			
TG(14:0/i-16:0/22:0)	HMDB0099954			
TG(i-14:0/16:0/i-22:0)	HMDB0099955			
TG(14:0/i-16:0/i-22:0)	HMDB0099956			
TG(i-14:0/i-16:0/22:0)	HMDB0099957			
TG(i-14:0/i-16:0/i-22:0)	HMDB0099958			
TG(i-14:0/16:0/22:0)	HMDB0099959			
TG(14:0/16:0/i-22:0)	HMDB0099960			
TG(i-14:0/16:0/i-24:0)	HMDB0099961			
TG(14:0/i-16:0/i-24:0)	HMDB0099962			
TG(i-14:0/i-16:0/i-24:0)	HMDB0099963			
TG(14:0/16:0/i-24:0)	HMDB0099964			
TG(i-14:0/i-16:0/a-25:0)[rac]	HMDB0099965			
TG(14:0/i-16:0/a-25:0)[rac]	HMDB0099966			
TG(i-14:0/16:0/a-25:0)[rac]	HMDB0099967			
TG(14:0/16:0/a-25:0)[rac]	HMDB0099968			
TG(14:0/a-17:0/8:0)[rac]	HMDB0099969			
TG(i-14:0/a-17:0/8:0)[rac]	HMDB0099970			
TG(14:0/i-17:0/8:0)	HMDB0099971			
TG(i-14:0/i-17:0/8:0)	HMDB0099972			
TG(i-14:0/17:0/8:0)	HMDB0099973			
TG(14:0/17:0/8:0)	HMDB0099974			
TG(14:0/a-17:0/10:0)[rac]	HMDB0099975			
TG(i-14:0/a-17:0/10:0)[rac]	HMDB0099976			
TG(14:0/i-17:0/10:0)	HMDB0099977			
TG(i-14:0/i-17:0/10:0)	HMDB0099978			
TG(i-14:0/17:0/10:0)	HMDB0099979			
TG(14:0/17:0/10:0)	HMDB0099980			
TG(i-14:0/a-17:0/i-12:0)[rac]	HMDB0099981			
TG(14:0/a-17:0/12:0)[rac]	HMDB0099982			
TG(i-14:0/a-17:0/12:0)[rac]	HMDB0099983			
TG(14:0/a-17:0/i-12:0)[rac]	HMDB0099984			
TG(14:0/i-17:0/12:0)	HMDB0099985			
TG(i-14:0/17:0/i-12:0)	HMDB0099986			
TG(14:0/i-17:0/i-12:0)	HMDB0099987			
TG(i-14:0/i-17:0/12:0)	HMDB0099988			
TG(i-14:0/i-17:0/i-12:0)	HMDB0099989			
TG(i-14:0/17:0/12:0)	HMDB0099990			
TG(14:0/17:0/12:0)	HMDB0099991			
TG(14:0/17:0/i-12:0)	HMDB0099992			
TG(14:0/a-17:0/a-13:0)[rac]	HMDB0099993			
TG(i-14:0/a-17:0/a-13:0)[rac]	HMDB0099994			
TG(i-14:0/a-17:0/i-13:0)[rac]	HMDB0099995			
TG(14:0/a-17:0/13:0)[rac]	HMDB0099996			
TG(i-14:0/a-17:0/13:0)[rac]	HMDB0099997			
TG(14:0/a-17:0/i-13:0)[rac]	HMDB0099998			
TG(14:0/i-17:0/13:0)	HMDB0099999			
Anteisopentadecanoyl-CoA	HMDB0100000			
Anteisotridecanoyl-CoA	HMDB0100001			
TG(i-14:0/17:0/i-13:0)	HMDB0100002			
TG(i-14:0/i-17:0/a-13:0)[rac]	HMDB0100003			
TG(14:0/i-17:0/a-13:0)[rac]	HMDB0100004			
TG(14:0/i-17:0/i-13:0)	HMDB0100005			
TG(i-14:0/i-17:0/13:0)	HMDB0100006			
TG(i-14:0/17:0/a-13:0)[rac]	HMDB0100007			
TG(i-14:0/i-17:0/i-13:0)	HMDB0100008			
TG(i-14:0/17:0/13:0)	HMDB0100009			
TG(14:0/17:0/13:0)	HMDB0100010			
TG(14:0/17:0/i-13:0)	HMDB0100011			
TG(14:0/17:0/a-13:0)[rac]	HMDB0100012			
TG(i-14:0/a-17:0/14:0)[rac]	HMDB0100013			
TG(14:0/a-17:0/i-14:0)[rac]	HMDB0100014			
TG(14:0/i-17:0/i-14:0)	HMDB0100015			
TG(i-14:0/i-17:0/14:0)	HMDB0100016			
TG(i-14:0/17:0/14:0)	HMDB0100017			
TG(14:0/17:0/i-14:0)	HMDB0100018			
TG(14:0/a-17:0/a-15:0)[rac]	HMDB0100019			
TG(i-14:0/a-17:0/a-15:0)[rac]	HMDB0100020			
TG(i-14:0/a-17:0/i-15:0)[rac]	HMDB0100021			
TG(14:0/a-17:0/15:0)[rac]	HMDB0100022			
TG(i-14:0/a-17:0/15:0)[rac]	HMDB0100023			
TG(14:0/a-17:0/i-15:0)[rac]	HMDB0100024			
TG(14:0/i-17:0/15:0)	HMDB0100025			
TG(i-14:0/17:0/i-15:0)	HMDB0100026			
TG(i-14:0/i-17:0/a-15:0)[rac]	HMDB0100027			
TG(14:0/i-17:0/a-15:0)[rac]	HMDB0100028			
TG(14:0/i-17:0/i-15:0)	HMDB0100029			
TG(i-14:0/i-17:0/15:0)	HMDB0100030			
TG(i-14:0/17:0/a-15:0)[rac]	HMDB0100031			
TG(i-14:0/i-17:0/i-15:0)	HMDB0100032			
TG(i-14:0/17:0/15:0)	HMDB0100033			
TG(14:0/17:0/15:0)	HMDB0100034			
TG(14:0/17:0/i-15:0)	HMDB0100035			
TG(14:0/17:0/a-15:0)[rac]	HMDB0100036			
TG(i-14:0/a-17:0/i-16:0)[rac]	HMDB0100037			
TG(14:0/a-17:0/16:0)[rac]	HMDB0100038			
TG(i-14:0/a-17:0/16:0)[rac]	HMDB0100039			
TG(14:0/a-17:0/i-16:0)[rac]	HMDB0100040			
TG(14:0/i-17:0/16:0)	HMDB0100041			
TG(i-14:0/17:0/i-16:0)	HMDB0100042			
TG(14:0/i-17:0/i-16:0)	HMDB0100043			
TG(i-14:0/i-17:0/16:0)	HMDB0100044			
TG(i-14:0/i-17:0/i-16:0)	HMDB0100045			
TG(i-14:0/17:0/16:0)	HMDB0100046			
TG(14:0/17:0/16:0)	HMDB0100047			
TG(14:0/17:0/i-16:0)	HMDB0100048			
TG(14:0/a-17:0/a-17:0)[rac]	HMDB0100049			
TG(i-14:0/a-17:0/a-17:0)[rac]	HMDB0100050			
TG(i-14:0/a-17:0/i-17:0)[rac]	HMDB0100051			
TG(14:0/a-17:0/17:0)[rac]	HMDB0100052			
TG(i-14:0/a-17:0/17:0)[rac]	HMDB0100053			
TG(14:0/a-17:0/i-17:0)[rac]	HMDB0100054			
TG(14:0/i-17:0/17:0)	HMDB0100055			
TG(i-14:0/17:0/i-17:0)	HMDB0100056			
TG(i-14:0/i-17:0/a-17:0)[rac]	HMDB0100057			
TG(14:0/i-17:0/a-17:0)[rac]	HMDB0100058			
TG(14:0/i-17:0/i-17:0)	HMDB0100059			
TG(i-14:0/i-17:0/17:0)	HMDB0100060			
TG(i-14:0/17:0/a-17:0)[rac]	HMDB0100061			
TG(i-14:0/i-17:0/i-17:0)	HMDB0100062			
TG(i-14:0/17:0/17:0)	HMDB0100063			
TG(14:0/17:0/17:0)	HMDB0100064			
TG(14:0/17:0/i-17:0)	HMDB0100065			
TG(14:0/17:0/a-17:0)[rac]	HMDB0100066			
TG(i-14:0/a-17:0/i-18:0)[rac]	HMDB0100067			
TG(14:0/a-17:0/18:0)[rac]	HMDB0100068			
TG(i-14:0/a-17:0/18:0)[rac]	HMDB0100069			
TG(14:0/a-17:0/i-18:0)[rac]	HMDB0100070			
TG(14:0/i-17:0/18:0)	HMDB0100071			
TG(i-14:0/17:0/i-18:0)	HMDB0100072			
TG(14:0/i-17:0/i-18:0)	HMDB0100073			
TG(i-14:0/i-17:0/18:0)	HMDB0100074			
TG(i-14:0/i-17:0/i-18:0)	HMDB0100075			
TG(i-14:0/17:0/18:0)	HMDB0100076			
TG(14:0/17:0/18:0)	HMDB0100077			
TG(14:0/17:0/i-18:0)	HMDB0100078			
TG(i-14:0/a-17:0/i-19:0)[rac]	HMDB0100079			
TG(14:0/a-17:0/19:0)[rac]	HMDB0100080			
TG(i-14:0/a-17:0/19:0)[rac]	HMDB0100081			
TG(14:0/a-17:0/i-19:0)[rac]	HMDB0100082			
TG(14:0/i-17:0/19:0)	HMDB0100083			
TG(i-14:0/17:0/i-19:0)	HMDB0100084			
TG(14:0/i-17:0/i-19:0)	HMDB0100085			
TG(i-14:0/i-17:0/19:0)	HMDB0100086			
TG(i-14:0/i-17:0/i-19:0)	HMDB0100087			
TG(i-14:0/17:0/19:0)	HMDB0100088			
TG(14:0/17:0/19:0)	HMDB0100089			
TG(14:0/17:0/i-19:0)	HMDB0100090			
TG(i-14:0/a-17:0/i-20:0)[rac]	HMDB0100091			
TG(14:0/a-17:0/20:0)[rac]	HMDB0100092			
TG(i-14:0/a-17:0/20:0)[rac]	HMDB0100093			
TG(14:0/a-17:0/i-20:0)[rac]	HMDB0100094			
TG(14:0/i-17:0/20:0)	HMDB0100095			
TG(i-14:0/17:0/i-20:0)	HMDB0100096			
TG(14:0/i-17:0/i-20:0)	HMDB0100097			
TG(i-14:0/i-17:0/20:0)	HMDB0100098			
TG(i-14:0/i-17:0/i-20:0)	HMDB0100099			
TG(i-14:0/17:0/20:0)	HMDB0100100			
TG(14:0/17:0/20:0)	HMDB0100101			
TG(14:0/17:0/i-20:0)	HMDB0100102			
TG(14:0/a-17:0/a-21:0)[rac]	HMDB0100103			
TG(i-14:0/a-17:0/a-21:0)[rac]	HMDB0100104			
TG(i-14:0/a-17:0/i-21:0)[rac]	HMDB0100105			
TG(14:0/a-17:0/21:0)[rac]	HMDB0100106			
TG(i-14:0/a-17:0/21:0)[rac]	HMDB0100107			
TG(14:0/a-17:0/i-21:0)[rac]	HMDB0100108			
TG(14:0/i-17:0/21:0)	HMDB0100109			
TG(i-14:0/17:0/i-21:0)	HMDB0100110			
TG(i-14:0/i-17:0/a-21:0)[rac]	HMDB0100111			
TG(14:0/i-17:0/a-21:0)[rac]	HMDB0100112			
TG(14:0/i-17:0/i-21:0)	HMDB0100113			
TG(i-14:0/i-17:0/21:0)	HMDB0100114			
TG(i-14:0/17:0/a-21:0)[rac]	HMDB0100115			
TG(i-14:0/i-17:0/i-21:0)	HMDB0100116			
TG(i-14:0/17:0/21:0)	HMDB0100117			
TG(14:0/17:0/21:0)	HMDB0100118			
TG(14:0/17:0/i-21:0)	HMDB0100119			
TG(14:0/17:0/a-21:0)[rac]	HMDB0100120			
TG(i-14:0/a-17:0/i-22:0)[rac]	HMDB0100121			
TG(14:0/a-17:0/22:0)[rac]	HMDB0100122			
TG(i-14:0/a-17:0/22:0)[rac]	HMDB0100123			
TG(14:0/a-17:0/i-22:0)[rac]	HMDB0100124			
TG(14:0/i-17:0/22:0)	HMDB0100125			
TG(i-14:0/17:0/i-22:0)	HMDB0100126			
TG(14:0/i-17:0/i-22:0)	HMDB0100127			
TG(i-14:0/i-17:0/22:0)	HMDB0100128			
TG(i-14:0/i-17:0/i-22:0)	HMDB0100129			
TG(i-14:0/17:0/22:0)	HMDB0100130			
TG(14:0/17:0/22:0)	HMDB0100131			
TG(14:0/17:0/i-22:0)	HMDB0100132			
TG(i-14:0/a-17:0/i-24:0)[rac]	HMDB0100133			
TG(14:0/a-17:0/i-24:0)[rac]	HMDB0100134			
TG(i-14:0/17:0/i-24:0)	HMDB0100135			
TG(14:0/i-17:0/i-24:0)	HMDB0100136			
TG(i-14:0/i-17:0/i-24:0)	HMDB0100137			
TG(14:0/17:0/i-24:0)	HMDB0100138			
TG(14:0/a-17:0/a-25:0)[rac]	HMDB0100139			
TG(i-14:0/a-17:0/a-25:0)[rac]	HMDB0100140			
TG(i-14:0/i-17:0/a-25:0)[rac]	HMDB0100141			
TG(14:0/i-17:0/a-25:0)[rac]	HMDB0100142			
TG(i-14:0/17:0/a-25:0)[rac]	HMDB0100143			
TG(14:0/17:0/a-25:0)[rac]	HMDB0100144			
TG(14:0/i-18:0/8:0)	HMDB0100145			
TG(i-14:0/i-18:0/8:0)	HMDB0100146			
TG(i-14:0/18:0/8:0)	HMDB0100147			
TG(14:0/18:0/8:0)	HMDB0100148			
TG(14:0/i-18:0/10:0)	HMDB0100149			
TG(i-14:0/i-18:0/10:0)	HMDB0100150			
TG(i-14:0/18:0/10:0)	HMDB0100151			
TG(14:0/18:0/10:0)	HMDB0100152			
TG(14:0/i-18:0/12:0)	HMDB0100153			
TG(i-14:0/18:0/i-12:0)	HMDB0100154			
TG(14:0/i-18:0/i-12:0)	HMDB0100155			
TG(i-14:0/i-18:0/12:0)	HMDB0100156			
TG(i-14:0/i-18:0/i-12:0)	HMDB0100157			
TG(i-14:0/18:0/12:0)	HMDB0100158			
TG(14:0/18:0/12:0)	HMDB0100159			
TG(14:0/18:0/i-12:0)	HMDB0100160			
TG(14:0/i-18:0/13:0)	HMDB0100161			
TG(i-14:0/18:0/i-13:0)	HMDB0100162			
TG(i-14:0/i-18:0/a-13:0)[rac]	HMDB0100163			
TG(14:0/i-18:0/a-13:0)[rac]	HMDB0100164			
TG(14:0/i-18:0/i-13:0)	HMDB0100165			
TG(i-14:0/i-18:0/13:0)	HMDB0100166			
TG(i-14:0/18:0/a-13:0)[rac]	HMDB0100167			
TG(i-14:0/i-18:0/i-13:0)	HMDB0100168			
TG(i-14:0/18:0/13:0)	HMDB0100169			
TG(14:0/18:0/13:0)	HMDB0100170			
TG(14:0/18:0/i-13:0)	HMDB0100171			
TG(14:0/18:0/a-13:0)[rac]	HMDB0100172			
TG(14:0/i-18:0/i-14:0)	HMDB0100173			
TG(i-14:0/i-18:0/14:0)	HMDB0100174			
TG(i-14:0/18:0/14:0)	HMDB0100175			
TG(14:0/18:0/i-14:0)	HMDB0100176			
TG(14:0/i-18:0/15:0)	HMDB0100177			
TG(i-14:0/18:0/i-15:0)	HMDB0100178			
TG(i-14:0/i-18:0/a-15:0)[rac]	HMDB0100179			
TG(14:0/i-18:0/a-15:0)[rac]	HMDB0100180			
TG(14:0/i-18:0/i-15:0)	HMDB0100181			
TG(i-14:0/i-18:0/15:0)	HMDB0100182			
TG(i-14:0/18:0/a-15:0)[rac]	HMDB0100183			
