LipidMaps	HMDB
LMFA06000108	HMDB0029690
LMFA01050341	HMDB0037798
LMFA02000230	HMDB0004705
LMFA04000044	HMDB0006528
LMFA06000127	HMDB0031834
LMFA01170084	HMDB0000422
LMFA01170094	HMDB0000394
LMFA01050400	HMDB0002601
LMFA05000130	HMDB0001183
LMFA08010008	HMDB0062656
LMFA01050416	HMDB0001090
LMFA11000578	HMDB0034289
LMFA11000405	HMDB0030300
LMFA01030949	HMDB0040883
LMFA05000555	HMDB0038067
LMFA06000034	HMDB0031686
LMFA05000659	HMDB0037645
LMFA05000704	HMDB0037181
LMFA01050529	HMDB0040169
LMFA11000657	HMDB0041402
LMFA07070047	HMDB0013202
LMFA07010699	HMDB0035425
LMFA07010752	HMDB0032320
LMFA07010813	HMDB0037230
LMFA07010818	HMDB0038954
LMFA07050249	HMDB03941
LMFA07050256	HMDB0003935
LMFA07050325	HMDB0006497
